Date,Actual,Forecasted
2008-01-03 00:00:00,341.3854064941406,260.55525385464455
2008-01-04 00:00:00,327.2732849121094,260.8928414586678
2008-01-07 00:00:00,323.41278076171875,261.96195518600456
2008-01-08 00:00:00,314.66058349609375,262.6086694522505
2008-01-09 00:00:00,325.3804016113281,262.9013185321315
2008-01-10 00:00:00,322.157470703125,263.4692113412179
2008-01-11 00:00:00,317.9333190917969,263.52511945033905
2008-01-14 00:00:00,325.6892395019531,263.5939821152348
2008-01-15 00:00:00,317.6344299316406,263.8783442550935
2008-01-16 00:00:00,306.824951171875,263.80365122886883
2008-01-17 00:00:00,299.27325439453125,264.0097313705736
2008-01-18 00:00:00,299.0042724609375,263.7154097560287
2008-01-22 00:00:00,291.0839538574219,262.9410881275174
2008-01-23 00:00:00,273.28564453125,262.6826054847132
2008-01-24 00:00:00,286.17236328125,262.75104794702366
2008-01-25 00:00:00,282.1424560546875,262.37105487321566
2008-01-28 00:00:00,276.951904296875,261.58407303133015
2008-01-29 00:00:00,274.23211669921875,261.7463562782545
2008-01-30 00:00:00,273.1112976074219,261.63750816254844
2008-01-31 00:00:00,281.09637451171875,261.890611256444
2008-02-01 00:00:00,256.98675537109375,261.7270139302716
2008-02-04 00:00:00,246.78997802734375,261.6991773077675
2008-02-05 00:00:00,252.4537353515625,262.1271506337174
2008-02-06 00:00:00,249.91824340820312,262.27749903664755
2008-02-07 00:00:00,251.53219604492188,262.77735159740456
2008-02-08 00:00:00,257.3802795410156,262.8388918947007
2008-02-11 00:00:00,259.60693359375,263.30942201768124
2008-02-12 00:00:00,258.0776672363281,263.83278312938376
2008-02-13 00:00:00,266.3117980957031,264.03587766903996
2008-02-14 00:00:00,265.1312255859375,264.5491886547197
2008-02-15 00:00:00,263.8310852050781,264.58011915495837
2008-02-19 00:00:00,253.5247344970703,265.09779215519836
2008-02-20 00:00:00,253.5496368408203,265.1141230726331
2008-02-21 00:00:00,250.49110412597656,265.4264495842007
2008-02-22 00:00:00,252.95187377929688,265.246184271895
2008-02-25 00:00:00,242.31175231933594,264.7898798276782
2008-02-26 00:00:00,231.22830200195312,264.97337403264066
2008-02-27 00:00:00,235.547119140625,264.8371980852754
2008-02-28 00:00:00,236.80738830566406,265.0253213066348
2008-02-29 00:00:00,234.7102508544922,264.754120254376
2008-03-03 00:00:00,227.6566925048828,264.2425594905956
2008-03-04 00:00:00,221.46987915039062,264.4809181018079
2008-03-05 00:00:00,223.0140838623047,264.4350465410896
2008-03-06 00:00:00,215.54209899902344,264.7449164947045
2008-03-07 00:00:00,215.86587524414062,264.62385233506194
2008-03-10 00:00:00,206.0377197265625,264.6768856976407
2008-03-11 00:00:00,219.09877014160156,265.1222749730319
2008-03-12 00:00:00,219.26812744140625,265.2811060809299
2008-03-13 00:00:00,220.67784118652344,265.7885561826014
2008-03-14 00:00:00,218.14234924316406,265.84861470935095
2008-03-17 00:00:00,209.1510467529297,266.3007007515303
2008-03-18 00:00:00,218.76004028320312,266.8181012934389
2008-03-19 00:00:00,215.1934051513672,267.01019534574067
2008-03-20 00:00:00,215.96551513671875,267.5147414474237
2008-03-24 00:00:00,229.42007446289062,267.63461442437665
2008-03-25 00:00:00,224.54833984375,267.976832599778
2008-03-26 00:00:00,228.239501953125,267.9697197185462
2008-03-27 00:00:00,221.21084594726562,268.25963894570106
2008-03-28 00:00:00,218.2220458984375,268.0494843680922
2008-03-31 00:00:00,219.41258239746094,267.4921215334864
2008-04-01 00:00:00,231.98545837402344,267.64219447436597
2008-04-02 00:00:00,231.98048400878906,267.4686788087748
2008-04-03 00:00:00,226.71023559570312,267.6227961520253
2008-04-04 00:00:00,234.66542053222656,267.3142065911033
2008-04-07 00:00:00,237.51971435546875,266.7126370295125
2008-04-08 00:00:00,233.0315399169922,266.9359165865697
2008-04-09 00:00:00,231.22830200195312,266.88045150197667
2008-04-10 00:00:00,233.66416931152344,267.19377282177066
2008-04-11 00:00:00,227.87088012695312,267.0835291460806
2008-04-14 00:00:00,224.9866943359375,267.25566678441135
2008-04-15 00:00:00,222.585693359375,267.7767641308703
2008-04-16 00:00:00,226.6654052734375,268.0260142007233
2008-04-17 00:00:00,223.93064880371094,268.6456739312274
2008-04-18 00:00:00,268.6978454589844,268.8315172696244
2008-04-21 00:00:00,267.890869140625,269.77053298470076
2008-04-22 00:00:00,276.4637451171875,270.48800496606725
2008-04-23 00:00:00,272.2246398925781,270.89004007731364
2008-04-24 00:00:00,270.5060729980469,271.6215127704676
2008-04-25 00:00:00,271.01416015625,271.86655410872055
2008-04-28 00:00:00,275.02911376953125,272.6920147839084
2008-04-29 00:00:00,278.1922607421875,273.28156135914736
2008-04-30 00:00:00,286.0727233886719,273.5104002198073
2008-05-01 00:00:00,295.4326477050781,274.0347918677257
2008-05-02 00:00:00,289.5596618652344,274.03752879157815
2008-05-05 00:00:00,296.3392333984375,274.0258975179114
2008-05-06 00:00:00,292.085205078125,274.3269825833716
2008-05-07 00:00:00,288.4189453125,274.27386945708497
2008-05-08 00:00:00,290.41644287109375,274.53290369846985
2008-05-09 00:00:00,285.5297546386719,274.2925885385622
2008-05-12 00:00:00,291.3778381347656,273.75421932573283
2008-05-13 00:00:00,290.4114685058594,273.9614908352361
2008-05-14 00:00:00,287.073974609375,273.8603723206308
2008-05-15 00:00:00,289.4151916503906,274.1169478293071
2008-05-16 00:00:00,288.9519348144531,273.92016299728124
2008-05-19 00:00:00,287.68170166015625,273.7549949617965
2008-05-20 00:00:00,288.2196960449219,274.15236499172187
